"Seats in Municipal Councils by region, party and election year"

"0181 Södertälje","The Moderate Party",8,10,12,14,14,13,15,13,15,10,14,15,12,11,12
"0181 Södertälje","The Centre Party",16,13,9,8,4,6,4,4,4,3,5,3,3,4,3
"0181 Södertälje","The Liberal Party",5,7,7,3,11,9,6,4,3,7,5,4,4,4,3
"0181 Södertälje","The Christian Democratic Party",0,0,0,0,0,0,2,2,4,4,4,2,3,6,6
"0181 Södertälje","The Green Party",..,..,..,1,1,5,3,5,5,4,4,5,6,4,3
"0181 Södertälje","The Social Democratic Party",28,27,29,31,32,28,27,31,27,28,23,25,23,21,20
"0181 Södertälje","The Left Party",4,4,4,4,3,4,4,4,6,5,4,4,4,4,5
"0181 Södertälje","The Sweden Democrats",..,..,..,..,..,0,0,0,0,0,2,5,9,9,10
"0181 Södertälje","Other Parties",0,0,0,0,0,0,4,2,1,4,4,2,1,2,3
"0182 Nacka","The Moderate Party",15,15,20,23,22,22,23,25,26,23,29,29,24,19,20
"0182 Nacka","The Centre Party",9,7,5,5,3,3,2,2,0,0,2,2,3,6,5
"0182 Nacka","The Liberal Party",7,8,8,4,9,9,8,6,5,10,7,7,5,5,3
"0182 Nacka","The Christian Democratic Party",0,0,0,0,0,0,2,0,4,4,2,2,2,3,2
"0182 Nacka","The Green Party",..,..,..,2,2,4,2,4,3,4,4,5,7,4,3
"0182 Nacka","The Social Democratic Party",20,20,22,23,21,19,18,20,18,16,13,11,11,11,13
"0182 Nacka","The Left Party",4,5,5,4,4,4,3,4,5,4,2,2,3,3,4
"0182 Nacka","The Sweden Democrats",..,..,..,..,..,0,0,0,0,0,0,0,2,5,4
"0182 Nacka","Other Parties",0,0,1,0,0,0,3,0,0,0,2,3,4,5,7
"0183 Sundbyberg","The Moderate Party",6,7,8,9,9,11,13,13,16,14,17,16,14,15,14
"0183 Sundbyberg","The Centre Party",7,5,3,3,2,2,2,2,0,0,1,2,3,5,4
"0183 Sundbyberg","The Liberal Party",4,5,5,2,6,8,6,6,4,8,5,4,4,5,4
"0183 Sundbyberg","The Christian Democratic Party",0,0,0,0,0,0,2,0,3,3,3,2,2,3,3
"0183 Sundbyberg","The Green Party",..,..,..,1,1,3,2,2,3,2,4,6,6,4,3
"0183 Sundbyberg","The Social Democratic Party",20,20,21,22,19,23,20,24,19,19,17,15,18,16,19
"0183 Sundbyberg","The Left Party",4,4,4,4,4,4,4,4,6,5,4,4,4,7,8
"0183 Sundbyberg","The Sweden Democrats",..,..,..,..,..,0,0,0,0,0,0,2,4,6,6
"0183 Sundbyberg","Other Parties",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"0184 Solna","The Moderate Party",11,12,18,20,19,17,20,21,23,20,28,26,20,19,17
"0184 Solna","The Centre Party",8,6,5,4,2,2,2,2,0,0,1,2,2,4,4
"0184 Solna","The Liberal Party",7,9,9,4,9,10,8,6,4,8,6,6,6,5,4
"0184 Solna","The Christian Democratic Party",0,0,0,0,0,0,2,1,4,4,2,2,2,2,2
"0184 Solna","The Green Party",..,..,..,1,2,4,3,3,3,3,4,6,8,5,3
"0184 Solna","The Social Democratic Party",21,20,24,27,24,23,20,24,20,21,16,15,14,15,20
"0184 Solna","The Left Party",4,4,5,5,5,5,4,4,7,5,4,4,5,6,6
"0184 Solna","The Sweden Democrats",..,..,..,..,..,0,0,0,0,0,0,0,3,5,5
"0184 Solna","Other Parties",0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
"0186 Lidingö","The Moderate Party",17,19,19,21,21,20,21,20,22,20,22,19,18,13,18
"0186 Lidingö","The Centre Party",5,4,4,3,2,2,2,4,2,2,4,8,9,9,9
"0186 Lidingö","The Liberal Party",4,6,6,4,7,8,7,5,6,10,7,6,4,6,5
"0186 Lidingö","The Christian Democratic Party",0,0,0,0,0,0,2,0,4,2,2,2,2,3,3
"0186 Lidingö","The Green Party",..,..,..,2,2,2,2,2,2,2,2,4,4,3,2
"0186 Lidingö","The Social Democratic Party",9,11,10,11,10,10,8,9,7,8,7,5,5,5,8
"0186 Lidingö","The Left Party",2,2,3,3,2,2,1,2,2,2,1,0,1,2,2
"0186 Lidingö","The Sweden Democrats",..,..,..,..,..,0,0,0,0,0,0,0,1,3,3
